run,method,split,n,n_correct,overall_acc,mean_sim_correct,mean_sim_wrong,median_sim_correct,median_sim_wrong,n_above_0.5,p_above_0.5,p_below_0.5,lift_at_0.5,n_above_0.6,p_above_0.6,p_below_0.6,lift_at_0.6,n_above_0.7,p_above_0.7,p_below_0.7,lift_at_0.7,n_above_0.8,p_above_0.8,p_below_0.8,lift_at_0.8,n_above_0.9,p_above_0.9,p_below_0.9,lift_at_0.9
set1_quartile_1_easy_standardft,standard_ft,synthetic,145,19,0.131,0.584,0.6355,0.5076,0.6299,114,0.114,0.1935,-0.0795,82,0.0732,0.2063,-0.1332,45,0.0889,0.15,-0.0611,15,0.2,0.1231,0.0769,5,0.4,0.1214,0.2786
set1_quartile_2_retrievalpractice,retrieval_practice,synthetic,145,9,0.0621,0.6273,0.6288,0.6736,0.6151,114,0.0526,0.0968,-0.0441,82,0.0732,0.0476,0.0256,45,0.0889,0.05,0.0389,15,0.0667,0.0615,0.0051,5,0.0,0.0643,-0.0643
set1_quartile_2_standardft,standard_ft,synthetic,145,12,0.0828,0.5393,0.6368,0.5111,0.6279,114,0.0702,0.129,-0.0589,82,0.0488,0.127,-0.0782,45,0.0222,0.11,-0.0878,15,0.0,0.0923,-0.0923,5,0.0,0.0857,-0.0857
set1_quartile_3_retrievalpractice,retrieval_practice,synthetic,145,13,0.0897,0.6191,0.6297,0.5886,0.6241,114,0.0877,0.0968,-0.0091,82,0.0732,0.1111,-0.0379,45,0.0667,0.1,-0.0333,15,0.2,0.0769,0.1231,5,0.2,0.0857,0.1143
set1_quartile_3_standardft,standard_ft,synthetic,145,8,0.0552,0.5251,0.6348,0.5047,0.625,114,0.0439,0.0968,-0.0529,82,0.0366,0.0794,-0.0428,45,0.0,0.08,-0.08,15,0.0,0.0615,-0.0615,5,0.0,0.0571,-0.0571
set1_quartile_4_hard_retrievalpractice,retrieval_practice,synthetic,145,13,0.0897,0.6336,0.6282,0.5021,0.6265,114,0.0702,0.1613,-0.0911,82,0.061,0.127,-0.066,45,0.0889,0.09,-0.0011,15,0.2667,0.0692,0.1974,5,0.6,0.0714,0.5286
set1_quartile_4_hard_standardft,standard_ft,synthetic,145,9,0.0621,0.5085,0.6367,0.4779,0.6283,114,0.0351,0.1613,-0.1262,82,0.0122,0.127,-0.1148,45,0.0222,0.08,-0.0578,15,0.0667,0.0615,0.0051,5,0.2,0.0571,0.1429
set2_stage3_r16_retrieval_8k,retrieval_practice,synthetic,145,11,0.0759,0.686,0.624,0.6736,0.6188,114,0.0702,0.0968,-0.0266,82,0.0732,0.0794,-0.0062,45,0.1111,0.06,0.0511,15,0.2667,0.0538,0.2128,5,0.6,0.0571,0.5429
set2_stage3_r16_retrieval_random_seed1,retrieval_practice,synthetic,145,14,0.0966,0.5705,0.6349,0.4934,0.6232,114,0.0614,0.2258,-0.1644,82,0.0732,0.127,-0.0538,45,0.0667,0.11,-0.0433,15,0.1333,0.0923,0.041,5,0.0,0.1,-0.1
set2_stage3_r16_retrieval_seed1_held,retrieval_practice,synthetic,145,13,0.0897,0.5949,0.632,0.5021,0.6241,114,0.0702,0.1613,-0.0911,82,0.061,0.127,-0.066,45,0.0667,0.1,-0.0333,15,0.1333,0.0846,0.0487,5,0.2,0.0857,0.1143
set2_stage3_r16_standard_8k,standard_ft,synthetic,145,14,0.0966,0.7092,0.6201,0.7302,0.6154,114,0.1053,0.0645,0.0407,82,0.1098,0.0794,0.0304,45,0.1556,0.07,0.0856,15,0.4,0.0615,0.3385,5,0.6,0.0786,0.5214
set2_stage3_r16_standard_mastered_seed1,standard_ft_mastered,synthetic,145,6,0.0414,0.5957,0.6301,0.5194,0.6232,114,0.0351,0.0645,-0.0294,82,0.0244,0.0635,-0.0391,45,0.0444,0.04,0.0044,15,0.1333,0.0308,0.1026,5,0.0,0.0429,-0.0429
set2_stage3_r16_standard_seed0_det,standard_ft,synthetic,145,8,0.0552,0.5452,0.6336,0.5,0.6232,114,0.0351,0.129,-0.0939,82,0.0366,0.0794,-0.0428,45,0.0222,0.07,-0.0478,15,0.0667,0.0538,0.0128,5,0.0,0.0571,-0.0571
set2_stage3_r16_standard_seed1_held,standard_ft,synthetic,145,8,0.0552,0.5528,0.6332,0.4895,0.6232,114,0.0351,0.129,-0.0939,82,0.0366,0.0794,-0.0428,45,0.0222,0.07,-0.0478,15,0.0,0.0615,-0.0615,5,0.0,0.0571,-0.0571
set2_stage3_r32_retrieval,retrieval_practice,synthetic,145,11,0.0759,0.5731,0.6333,0.5021,0.6227,114,0.0526,0.1613,-0.1087,82,0.061,0.0952,-0.0343,45,0.0444,0.09,-0.0456,15,0.0667,0.0769,-0.0103,5,0.0,0.0786,-0.0786
set2_stage3_r32_standard,standard_ft,synthetic,145,10,0.069,0.7145,0.6224,0.7229,0.6149,114,0.0702,0.0645,0.0057,82,0.0854,0.0476,0.0377,45,0.1111,0.05,0.0611,15,0.2667,0.0462,0.2205,5,0.4,0.0571,0.3429
set2_stage3_r8_retrieval_random,retrieval_practice,synthetic,145,12,0.0828,0.5105,0.6394,0.4943,0.6312,114,0.0439,0.2258,-0.1819,82,0.0244,0.1587,-0.1343,45,0.0,0.12,-0.12,15,0.0,0.0923,-0.0923,5,0.0,0.0857,-0.0857
set2_stage3_r8_retrieval_seed1_held,retrieval_practice,synthetic,145,8,0.0552,0.5968,0.6306,0.5984,0.6222,114,0.0439,0.0968,-0.0529,82,0.0488,0.0635,-0.0147,45,0.0222,0.07,-0.0478,15,0.0,0.0615,-0.0615,5,0.0,0.0571,-0.0571
set2_stage3_r8_retrieval_seed2,retrieval_practice,synthetic,145,18,0.1241,0.5163,0.6446,0.5,0.6362,114,0.0789,0.2903,-0.2114,82,0.0244,0.254,-0.2296,45,0.0222,0.17,-0.1478,15,0.0667,0.1308,-0.0641,5,0.2,0.1214,0.0786
set2_stage3_r8_standard_mastered,standard_ft_mastered,synthetic,145,14,0.0966,0.5308,0.6392,0.5019,0.6312,114,0.0702,0.1935,-0.1234,82,0.0244,0.1905,-0.1661,45,0.0444,0.12,-0.0756,15,0.1333,0.0923,0.041,5,0.2,0.0929,0.1071
set2_stage3_r8_standard_random,standard_ft,synthetic,145,15,0.1034,0.6046,0.6315,0.5469,0.6241,114,0.0877,0.1613,-0.0736,82,0.0854,0.127,-0.0416,45,0.0889,0.11,-0.0211,15,0.2,0.0923,0.1077,5,0.2,0.1,0.1
set2_stage3_r8_standard_seed1_held,standard_ft,synthetic,145,8,0.0552,0.5574,0.6329,0.5571,0.6232,114,0.0439,0.0968,-0.0529,82,0.0488,0.0635,-0.0147,45,0.0222,0.07,-0.0478,15,0.0667,0.0538,0.0128,5,0.0,0.0571,-0.0571
set2_stage3_r8_standard_seed2,standard_ft,synthetic,145,16,0.1103,0.5428,0.6394,0.5019,0.6312,114,0.0789,0.2258,-0.1469,82,0.061,0.1746,-0.1136,45,0.0222,0.15,-0.1278,15,0.0,0.1231,-0.1231,5,0.0,0.1143,-0.1143
